OB_SECCODE_0007,OB_SECNAME_0007
600670,*ST斯 达
600603,ST兴  业
600105,永鼎股份
600971,恒源煤电
600667,太极实业
600162,香江控股
600883,博闻科技
600390,金瑞科技
600282,南钢股份
600981,江苏开元
600291,西水股份
600420,现代制药
600503,华丽家族
600753,东方银星
600854,ST春 兰
600696,多伦股份
600665,天地源
600033,福建高速
600545,新疆城建
601718,际华集团
600074,中达股份
600999,招商证券
601717,郑煤机
600591,*ST上航
601101,昊华能源
600115,东方航空
600663,陆家嘴
600086,东方金钰
601188,龙江交通
600009,上海机场
600060,海信电器
600787,中储股份
600375,星马汽车
600203,福日电子
600790,轻纺城
600193,创兴置业
601618,中国中冶
600874,创业环保
600797,浙大网新
600297,美罗药业
600525,长园集团
600111,包钢稀土
600657,信达地产
600251,冠农股份
600633,*ST白猫
600313,*ST中农
600727,*ST鲁北
600898,*ST三联
600307,酒钢宏兴
600870,ST厦华
600741,华域汽车
600130,ST波导
600076,ST华光
600234,ST天龙
600887,伊利股份
600728,*ST新太
600225,天津松江
600259,广晟有色
600831,广电网络
600786,东方锅炉
600625,PT水  仙
600813,ST鞍一工
600669,*ST鞍 成
600878,*ST北 科
600632,华联商厦
600709,ST生  态
600627,上电股份
600762,S*ST金荔
600065,*ST联 谊
600296,S 兰  铝
600181,*ST云 大
600472,包头铝业
600772,S*ST龙昌
600092,S*ST精密
600231,凌钢股份
600205,S 山东铝
600286,S*ST国瓷
600799,*ST龙 科
600659,*ST花 雕
600852,*ST中 川
600672,*ST华 圣
600788,*ST达 曼
600700,*ST数 码
600752,*ST哈 慈
600899,*ST信 联
600002,齐鲁退市
601888,中国国旅
600001,邯郸钢铁
600357,承德钒钛
600991,广汽长丰
600507,方大特钢
600275,ST昌鱼
600604,ST二纺
601299,中国北车
600613,永生投资
600508,上海能源
600339,天利高新
600066,宇通客车
600367,红星发展
600675,中华企业
600352,浙江龙盛
600108,亚盛集团
600376,首开股份
600104,上海汽车
600230,沧州大化
600865,百大集团
600884,杉杉股份
600057,*ST夏新
600053,中江地产
600853,龙建股份
600897,厦门空港
600326,西藏天路
600133,东湖高新
600886,国投电力
600780,通宝能源
600614,鼎立股份
600707,彩虹股份
600895,张江高科
600526,菲达环保
600828,成商集团
600288,大恒科技
600965,福成五丰
600218,全柴动力
600322,天房发展
600575,芜湖港
600265,景谷林业
600007,中国国贸
600802,福建水泥
600673,东阳光铝
600120,浙江东方
600220,江苏阳光
600210,紫江企业
600652,爱使股份
600642,申能股份
601001,大同煤业
600401,*ST申 龙
600767,运盛实业
600027,华电国际
600148,长春一东
600990,四创电子
600693,东百集团
600255,鑫科材料
600550,天威保变
600580,卧龙电气
600766,园城股份
600856,长百集团
600029,南方航空
600561,江西长运
600649,城投控股
600549,厦门钨业
600900,长江电力
600262,北方股份
600238,海南椰岛
600461,洪城水业
600283,钱江水利
600863,内蒙华电
600139,西部资源
600655,豫园商城
600650,锦江投资
600776,东方通信
600643,爱建股份
600239,云南城投
600840,新湖创业
600481,双良节能
600048,保利地产
600838,上海九百
600647,同达创业
600383,金地集团
600069,银鸽投资
600336,澳柯玛
600721,ST百花
600566,洪城股份
600821,津劝业
600436,片仔癀
600567,山鹰纸业
600399,抚顺特钢
600330,天通股份
600768,宁波富邦
600623,双钱股份
600750,江中药业
600261,浙江阳光
600791,京能置业
600724,宁波富达
600973,宝胜股份
600439,瑞贝卡
600537,海通集团
600522,中天科技
600731,湖南海利
600979,广安爱众
600273,华芳纺织
600377,宁沪高速
600463,空港股份
600102,莱钢股份
600645,ST中源
600062,双鹤药业
600257,大湖股份
600640,中卫国脉
600332,广州药业
600379,宝光股份
600151,航天机电
600684,珠江实业
600848,自仪股份
600359,新农开发
600068,葛洲坝
600418,江淮汽车
600681,S*ST万鸿
600698,ST轻骑
600845,宝信软件
600502,安徽水利
600187,ST国中
600784,鲁银投资
600488,天药股份
600128,弘业股份
600466,迪康药业
600125,铁龙物流
600738,兰州民百
600246,万通地产
600594,益佰制药
